年月日,平均気温,天気概況（昼）,都市
2022/4/16,13.8,6.4,曇り,金沢
2022/4/17,16.1,3.8,晴れ,金沢
2022/4/18,18.2,7.8,曇り,金沢
2022/4/19,16.7,8.6,晴れ,金沢
2022/4/20,22.4,7.4,晴れ,金沢
2022/4/21,22.5,12.2,曇り,金沢
2022/4/22,19.6,14.1,曇りのち晴れ,金沢
2022/4/23,19.5,12.9,曇り,金沢
2022/4/24,23.2,11.9,曇り,金沢
2022/4/25,23.8,13.0,晴れ,金沢
2022/4/26,25.1,16.6,雨ときどき曇り,金沢
2022/4/27,22.6,10.7,曇りときどき雨,金沢
2022/4/28,18.5,10.0,晴れ,金沢
2022/4/29,14.0,8.5,大雨ときどき曇り,金沢
2022/4/30,16.8,7.4,晴れ,金沢
2022/5/1,12.9,8.4,雨,金沢
2022/5/2,17.4,6.4,晴れ,金沢
2022/5/3,16.0,8.3,晴れ,金沢
2022/5/4,23.6,8.9,晴れ,金沢
2022/5/5,24.7,11.4,晴れ,金沢
2022/5/6,23.9,13.6,晴れ,金沢
2022/5/7,24.2,13.3,晴れのち曇り,金沢
2022/5/8,18.5,11.3,晴れのち曇り,金沢
2022/5/9,19.6,10.9,曇り,金沢
2022/5/10,22.2,9.5,晴れときどき曇り,金沢
2022/5/11,22.9,13.4,曇りときどき雨,金沢
2022/5/12,26.4,16.5,曇り,金沢
2022/5/13,23.4,16.8,曇り,金沢
2022/5/14,19.2,12.9,雨ときどき曇り,金沢
2022/5/15,18.0,11.1,曇り,金沢
2022/5/16,19.5,11.5,曇りときどき晴れ,金沢
2022/5/17,21.9,13.8,曇り,金沢
2022/5/18,25.2,11.4,晴れ,金沢
2022/5/19,28.2,13.8,晴れ,金沢
2022/5/20,26.1,17.2,曇り,金沢
2022/5/21,26.0,17.4,曇り,金沢
2022/5/22,24.3,15.5,晴れときどき曇り,金沢
2022/5/23,22.3,15.9,晴れ,金沢
2022/5/24,26.4,14.0,晴れ,金沢
2022/5/25,28.0,16.7,晴れ,金沢
2022/5/26,28.2,18.3,曇り,金沢
2022/5/27,26.1,17.8,曇り,金沢
2022/5/28,24.1,18.6,晴れ,金沢
2022/5/29,27.6,19.1,晴れ,金沢
2022/5/30,29.7,16.6,晴れのち雨,金沢
2022/5/31,23.8,17.2,雨ときどき晴れ,金沢
2022/6/1,24.5,14.0,曇りときどき晴れ,金沢
2022/6/2,26.9,16.4,晴れ,金沢
2022/6/3,23.8,17.7,曇りときどき晴れ,金沢
2022/6/4,24.0,15.9,晴れ,金沢
2022/6/5,23.7,16.5,曇りときどき晴れ,金沢
2022/6/6,22.0,16.4,雨ときどき曇り,金沢
2022/6/7,20.0,15.7,雨ときどき曇り,金沢
2022/6/8,21.2,15.0,雨ときどき曇り,金沢
2022/6/9,23.8,14.0,晴れ,金沢
2022/6/10,24.7,17.5,晴れときどき曇り,金沢
2022/6/11,23.9,18.8,曇り,金沢
2022/6/12,23.3,16.5,晴れときどき曇り,金沢
2022/1/7,3.3,0.9,曇りのち雪,富山
2022/1/8,9.5,0.9,晴れ,富山
2022/1/9,7.2,3.8,曇り,富山
2022/1/10,8.9,1.2,晴れときどき曇り,富山
2022/1/11,9.2,0.4,雨,富山
2022/1/12,2.0,-0.7,雪ときどき曇り,富山
2022/1/13,1.7,-0.8,雪ときどきみぞれ,富山
2022/1/14,2.0,-1.2,雪ときどき曇り,富山
2022/1/15,5.5,-0.7,曇り,富山
2022/1/16,7.0,-0.6,曇りときどき雪,富山
2022/1/17,3.4,0.2,みぞれときどき雨,富山
2022/1/18,1.0,-1.7,雪ときどき曇り,富山
2022/1/19,4.3,-1.8,曇り,富山
2022/1/20,2.5,-0.8,雪ときどき曇り,富山
2022/1/21,1.7,-2.2,雪のち曇り,富山
2022/1/22,5.0,-1.6,曇り,富山
2022/1/23,5.4,-2.4,曇りときどき晴れ,富山
2022/1/24,5.6,1.7,曇り,富山
2022/1/25,6.5,0.2,曇りときどき晴れ,富山
2022/1/26,10.6,2.0,曇りときどき晴れ,富山
2022/1/27,6.1,1.4,曇り,富山
2022/1/28,3.2,-0.1,雪,富山
2022/1/29,5.1,0.2,みぞれときどき曇り,富山
2022/1/30,3.5,0.3,みぞれときどき雪,富山
2022/1/31,6.9,0.1,曇りときどき晴れ,富山
2022/2/1,8.0,0.0,曇りときどき晴れ,富山
2022/2/2,6.7,1.0,みぞれときどき曇り,富山
2022/2/3,7.3,1.0,みぞれときどき雨,富山
2022/2/4,4.8,0.6,みぞれときどき曇り,富山
2022/2/5,1.3,-1.3,雪ときどき曇り,富山
2022/2/6,1.0,-1.4,雪,富山
2022/2/7,5.5,-2.3,曇り,富山
2022/2/8,5.4,-0.6,曇りときどき晴れ,富山
2022/2/9,7.2,0.4,晴れときどき曇り,富山
2022/2/10,2.5,0.2,曇りのちみぞれ,富山
2022/2/11,7.1,-0.1,みぞれときどき曇り,富山
2022/2/12,10.3,-0.8,曇りときどき晴れ,富山
2022/2/13,7.6,1.1,曇り,富山
2022/2/14,7.9,0.1,曇りときどき晴れ,富山
2022/2/15,10.1,-1.2,曇り,富山
2022/2/16,3.0,-0.4,雪ときどきみぞれ,富山
2022/2/17,1.6,-1.7,雪ときどき曇り,富山
2022/2/18,5.8,-1.3,曇り,富山
2022/2/19,5.6,-2.8,曇り,富山
2022/2/20,5.7,-1.1,雨のちみぞれ,富山
2022/2/21,2.2,-2.0,雪ときどき曇り,富山
2022/2/22,2.2,-1.1,雪ときどき曇り,富山
2022/2/23,0.9,-2.2,雪,富山
2022/2/24,4.7,-2.5,晴れときどき曇り,富山
2022/2/25,7.1,-0.8,曇り,富山
2022/2/26,12.2,1.6,晴れ,富山
2022/2/27,9.2,3.3,雨ときどき曇り,富山
2022/2/28,13.0,2.1,曇りときどき晴れ,富山
2022/3/1,13.0,2.1,曇り,富山
2022/3/2,12.3,3.8,曇りときどき雨,富山
2022/3/3,10.6,1.2,雨ときどき曇り,富山
2022/3/4,11.4,-0.5,晴れ,富山
2022/3/5,14.0,2.2,晴れのち雨,富山
2022/3/6,5.3,0.9,みぞれときどき雪,富山
2022/3/7,7.7,0.8,曇りときどきみぞれ,富山
2022/3/8,9.0,-0.2,曇りのち晴れ,富山
2022/3/9,12.4,-0.6,晴れ,富山
2022/3/10,14.1,1.1,晴れときどき曇り,富山
2022/3/11,20.3,2.9,晴れ,富山
2022/3/12,20.2,6.1,晴れ,富山
2022/3/13,20.8,6.0,曇り,富山
2022/3/14,15.9,8.6,曇りときどき雨,富山
2022/3/15,17.9,6.9,晴れのち雨,富山
2022/3/16,18.1,4.2,晴れ,富山
2022/3/17,11.4,5.6,曇り,富山
2022/3/18,7.4,5.6,雨,富山
2022/3/19,9.2,4.6,雨ときどき曇り,富山
2022/3/20,9.4,4.0,雨のち曇り,富山
2022/3/21,12.1,2.1,曇りときどき雨,富山
2022/3/22,8.4,2.3,雨のち曇り,富山
2022/3/23,8.9,0.5,曇り,富山
2022/3/24,14.8,4.7,晴れのち曇り,富山
2022/3/25,15.5,3.8,晴れ,富山
2022/3/26,20.3,13.9,雨ときどき曇り,富山
2022/3/27,17.1,8.1,曇り,富山
2022/3/28,12.8,6.8,曇りときどき晴れ,富山
2022/3/29,12.0,4.6,曇り,富山
2022/3/30,23.0,9.2,晴れ,富山
2022/3/31,14.3,5.9,雨ときどき曇り,富山
2022/4/1,11.0,4.2,曇りときどき晴れ,富山
2022/4/2,11.2,1.7,晴れ,富山
2022/4/3,13.1,2.2,晴れのち曇り,富山
2022/4/4,14.8,7.8,晴れときどき曇り,富山
2022/4/5,17.2,9.0,曇り,富山
2022/4/6,20.6,8.7,曇りときどき晴れ,富山
2022/4/7,18.9,8.6,晴れ,富山
2022/4/8,13.4,6.7,晴れ,富山
2022/4/9,25.8,5.9,晴れ,富山
2022/4/10,28.4,12.5,晴れ,富山
2022/4/11,24.8,12.4,曇り,富山
2022/4/12,27.6,14.2,晴れ,富山
2022/4/13,25.8,12.0,曇りときどき晴れ,富山
2022/4/14,13.6,10.7,雨ときどき曇り,富山
2022/4/15,13.2,9.7,雨,富山
2022/4/16,13.5,5.8,雨のち曇り,富山
2022/4/17,16.3,3.1,晴れ,富山
2022/4/18,18.3,5.8,曇り,富山
2022/4/19,16.7,7.8,晴れ,富山
2022/4/20,21.6,5.5,晴れ,富山
2022/4/21,25.0,12.7,曇り,富山
2022/4/22,21.8,12.5,曇り,富山
2022/4/23,21.9,12.6,曇り,富山
2022/4/24,20.1,9.7,曇り,富山
2022/4/25,26.5,11.1,晴れときどき曇り,富山
2022/4/26,25.0,14.1,雨ときどき曇り,富山
2022/4/27,20.4,10.5,曇りときどき雨,富山
2022/4/28,17.3,8.2,晴れ,富山
2022/4/29,14.1,8.5,大雨ときどき曇り,富山
2022/4/30,14.8,8.7,晴れときどき曇り,富山
2022/5/1,12.6,8.1,雨,富山
2022/5/2,17.3,6.1,晴れのち曇り,富山
2022/5/3,18.0,7.4,晴れ,富山
2022/5/4,26.3,9.7,晴れ,富山
2022/5/5,26.0,10.3,晴れ,富山
2022/5/6,26.2,11.2,晴れ,富山
2022/5/7,27.3,11.6,晴れのち曇り,富山
2022/5/8,18.8,11.0,晴れ,富山
2022/5/9,16.6,9.7,曇りときどき雨,富山
2022/5/10,18.7,7.8,晴れときどき曇り,富山
2022/5/11,22.6,10.2,曇り,富山
2022/5/12,24.5,14.0,曇りときどき晴れ,富山
2022/5/13,20.5,16.4,曇りときどき雨,富山
2022/5/14,19.3,12.3,雨のち曇り,富山
2022/5/15,18.7,11.1,曇り,富山
2022/5/16,20.0,10.5,曇り,富山
2022/5/17,22.1,11.7,曇り,富山
2022/5/18,26.9,12.0,晴れ,富山
2022/5/19,30.3,15.6,晴れ,富山
2022/5/20,28.0,16.9,曇り,富山
2022/5/21,21.9,15.9,曇りときどき雨,富山
2022/5/22,25.7,14.7,晴れ,富山
2022/5/23,23.7,15.5,晴れ,富山
2022/5/24,23.2,12.1,晴れ,富山
2022/5/25,28.4,13.7,晴れ,富山
2022/5/26,29.5,18.4,曇り,富山
2022/5/27,27.4,16.6,雨ときどき曇り,富山
2022/5/28,26.8,16.8,晴れ,富山
2022/5/29,31.1,16.6,晴れ,富山
2022/5/30,26.1,15.8,晴れのち曇り,富山
2022/5/31,27.1,15.0,雨ときどき曇り,富山
2022/6/1,24.0,13.2,曇りときどき晴れ,富山
2022/6/2,29.9,14.9,晴れ,富山
2022/6/3,24.5,17.0,曇りときどき雨,富山
2022/6/4,22.0,16.3,曇り,富山
2022/6/5,21.9,15.8,曇りときどき晴れ,富山
2022/6/6,23.3,16.3,雨ときどき曇り,富山
2022/6/7,21.4,16.0,曇りときどき雨,富山
2022/6/8,21.6,14.8,曇りときどき雨,富山
2022/6/9,24.0,14.7,晴れ,富山
2022/6/10,26.0,16.0,曇りときどき晴れ,富山
2022/6/11,22.1,18.3,曇りときどき雨,富山
2022/6/12,22.3,16.4,曇り,富山
2022/1/1,-0.1,-6.0,曇り,長野
2022/1/2,2.1,-9.3,晴れときどき曇り,長野
2022/1/3,3.7,-2.6,晴れときどき曇り,長野
2022/1/4,1.4,-4.8,雪,長野
2022/1/5,-0.2,-5.7,曇りときどき晴れ,長野
2022/1/6,1.2,-7.2,曇りときどき晴れ,長野
2022/1/7,2.0,-4.4,曇りときどき晴れ,長野
2022/1/8,3.7,-7.7,晴れときどき曇り,長野
2022/1/9,7.7,-4.7,晴れときどき曇り,長野
2022/1/10,6.9,-0.9,曇りときどき晴れ,長野
2022/1/11,7.4,0.1,雨ときどき曇り,長野
2022/1/12,1.2,-4.1,曇り,長野
2022/1/13,-0.6,-5.2,曇りのち雪,長野
2022/1/14,-1.5,-5.0,雪ときどき曇り,長野
2022/1/15,1.1,-8.4,曇りときどき晴れ,長野
2022/1/16,3.6,-7.9,曇りときどき晴れ,長野
2022/1/17,0.7,-1.7,雪ときどき曇り,長野
2022/1/18,0.2,-4.5,曇りときどき雪,長野
2022/1/19,2.1,-8.1,晴れときどき曇り,長野
2022/1/20,-0.7,-4.7,雪ときどき曇り,長野
2022/1/21,-0.9,-7.8,曇りときどき雪,長野
2022/1/22,1.7,-10.4,晴れときどき曇り,長野
2022/1/23,0.6,-8.3,曇り,長野
2022/1/24,3.3,-1.8,曇り,長野
2022/1/25,4.2,-4.1,晴れときどき曇り,長野
2022/1/26,6.3,-1.8,曇りときどき晴れ,長野
2022/1/27,2.8,-3.1,曇りときどき晴れ,長野
2022/1/28,3.1,-5.5,曇りときどき晴れ,長野
2022/1/29,4.5,-2.8,曇り,長野
2022/1/30,0.9,-2.9,曇りときどき雪,長野
2022/1/31,2.6,-4.1,曇りときどき晴れ,長野
2022/2/1,4.2,-5.5,晴れ,長野
2022/2/2,2.5,-2.1,曇り,長野
2022/2/3,5.6,-1.9,曇りときどき晴れ,長野
2022/2/4,3.8,-3.5,晴れときどき曇り,長野
2022/2/5,-1.1,-4.8,雪ときどき曇り,長野
2022/2/6,-1.9,-4.9,雪ときどき曇り,長野
2022/2/7,1.9,-6.4,曇りときどき晴れ,長野
2022/2/8,4.5,-4.8,曇りときどき晴れ,長野
2022/2/9,5.6,-3.3,晴れときどき曇り,長野
2022/2/10,0.2,-2.2,雪,長野
2022/2/11,4.2,-4.0,曇りときどき晴れ,長野
2022/2/12,5.7,-5.4,曇りときどき晴れ,長野
2022/2/13,3.7,-5.1,曇り,長野
2022/2/14,5.0,-1.9,曇り,長野
2022/2/15,7.8,-3.8,曇りときどき晴れ,長野
2022/2/16,3.5,-2.4,曇り,長野
2022/2/17,0.5,-4.0,曇りときどき雪,長野
2022/2/18,2.5,-4.3,雪ときどき曇り,長野
2022/2/19,5.9,-5.6,曇り,長野
2022/2/20,5.3,-4.1,曇りときどきみぞれ,長野
2022/2/21,-2.1,-5.2,雪,長野
2022/2/22,-1.1,-4.9,雪ときどき曇り,長野
2022/2/23,1.2,-6.1,曇りときどき晴れ,長野
2022/2/24,2.6,-7.3,晴れ,長野
2022/2/25,6.5,-8.3,晴れ,長野
2022/2/26,8.8,-5.2,晴れ,長野
2022/2/27,5.7,-2.2,みぞれときどき曇り,長野
2022/2/28,10.2,-4.4,晴れときどき曇り,長野
2022/3/1,9.1,-2.8,曇り,長野
2022/3/2,9.2,-0.7,晴れときどき曇り,長野
2022/3/3,9.9,-3.0,晴れ,長野
2022/3/4,8.9,-2.5,晴れ,長野
2022/3/5,15.6,-3.2,晴れ,長野
2022/3/6,3.8,-2.7,雪ときどき曇り,長野
2022/3/7,6.3,-2.7,曇りときどき晴れ,長野
2022/3/8,8.2,-2.7,晴れときどき曇り,長野
2022/3/9,10.8,-3.5,晴れ,長野
2022/3/10,11.7,-2.6,晴れときどき曇り,長野
2022/3/11,17.1,-1.6,晴れときどき曇り,長野
2022/3/12,15.5,0.3,晴れ,長野
2022/3/13,19.3,2.8,曇りときどき晴れ,長野
2022/3/14,16.8,6.0,晴れ,長野
2022/3/15,17.1,3.5,晴れときどき曇り,長野
2022/3/16,18.3,1.5,晴れ,長野
2022/3/17,9.9,3.1,晴れ,長野
2022/3/18,7.7,1.9,雨ときどき曇り,長野
2022/3/19,9.6,1.2,曇りときどき雨,長野
2022/3/20,7.4,0.1,みぞれ,長野
2022/3/21,10.0,-0.8,晴れときどき曇り,長野
2022/3/22,3.3,-1.8,みぞれときどき曇り,長野
2022/3/23,8.9,-2.2,曇りときどき晴れ,長野
2022/3/24,13.6,2.6,晴れ,長野
2022/3/25,19.1,0.3,晴れ,長野
2022/3/26,17.0,9.6,雨ときどき曇り,長野
2022/3/27,15.8,4.4,曇り,長野
2022/3/28,8.8,2.3,曇りときどき晴れ,長野
2022/3/29,15.2,1.5,曇り,長野
2022/3/30,20.0,3.0,晴れ,長野
2022/3/31,11.4,2.5,曇りときどき雨,長野
2022/4/1,7.3,0.3,曇りのち晴れ,長野
2022/4/2,13.1,-1.3,晴れ,長野
2022/4/3,15.9,0.7,晴れ,長野
2022/4/4,14.2,4.5,曇り,長野
2022/4/5,20.1,5.6,晴れ,長野
2022/4/6,19.1,6.9,晴れときどき曇り,長野
2022/4/7,21.7,7.3,曇りときどき晴れ,長野
2022/4/8,14.9,5.4,晴れ,長野
2022/4/9,23.9,4.2,晴れ,長野
2022/4/10,27.0,6.3,晴れ,長野
2022/4/11,26.0,9.3,曇りときどき晴れ,長野
2022/4/12,27.1,10.0,晴れ,長野
2022/4/13,26.2,9.7,晴れときどき曇り,長野
2022/4/14,17.4,10.9,雨ときどき曇り,長野
2022/4/15,14.0,9.2,曇りときどき雨,長野
2022/4/16,11.3,1.9,曇りときどき晴れ,長野
2022/4/17,18.7,0.1,晴れ,長野
2022/4/18,14.9,5.6,雨ときどき曇り,長野
2022/4/19,16.7,6.4,晴れ,長野
2022/4/20,21.9,4.8,晴れ,長野
2022/4/21,21.5,7.6,曇り,長野
2022/4/22,23.0,11.2,晴れ,長野
2022/4/23,23.0,8.5,曇りときどき晴れ,長野
2022/4/24,20.0,8.8,曇り,長野
2022/4/25,27.6,9.9,晴れ,長野
2022/4/26,26.3,17.2,曇りのち雨,長野
2022/4/27,18.4,8.6,曇り,長野
2022/4/28,21.0,6.5,曇りのち晴れ,長野
2022/4/29,15.4,7.2,曇りのち雨,長野
2022/4/30,17.4,5.4,晴れ,長野
2022/5/1,11.9,7.5,雨ときどき曇り,長野
2022/5/2,17.0,4.3,晴れのち曇り,長野
2022/5/3,16.1,3.7,晴れ,長野
2022/5/4,25.8,4.0,晴れ,長野
2022/5/5,28.1,8.6,晴れ,長野
2022/5/6,28.1,11.0,晴れときどき曇り,長野
2022/5/7,28.3,12.3,晴れ,長野
2022/5/8,17.1,7.9,晴れ,長野
2022/5/9,12.4,7.4,曇り,長野
2022/5/10,22.9,6.1,晴れときどき曇り,長野
2022/5/11,25.0,10.0,曇りときどき晴れ,長野
2022/5/12,27.9,14.6,晴れときどき曇り,長野
2022/5/13,23.0,16.0,曇り,長野
2022/5/14,19.7,11.2,曇り,長野
2022/5/15,18.7,9.0,曇り,長野
2022/5/16,18.8,8.3,曇り,長野
2022/5/17,19.1,10.8,曇り,長野
2022/5/18,24.6,8.8,晴れ,長野
2022/5/19,27.1,8.2,晴れ,長野
2022/5/20,24.4,12.3,曇り,長野
2022/5/21,18.9,13.9,雨,長野
2022/5/22,21.9,12.9,曇り,長野
2022/5/23,20.8,11.6,晴れ,長野
2022/5/24,26.5,9.2,晴れ,長野
2022/5/25,28.8,13.0,晴れ,長野
2022/5/26,26.0,14.4,曇りときどき晴れ,長野
2022/5/27,25.3,14.9,晴れときどき雨,長野
2022/5/28,24.5,13.2,晴れ,長野
2022/5/29,30.0,10.8,晴れ,長野
2022/5/30,32.7,12.7,晴れ,長野
2022/5/31,25.1,13.4,曇り,長野
2022/6/1,24.2,10.6,曇りときどき晴れ,長野
2022/6/2,29.4,12.5,晴れ,長野
2022/6/3,23.3,13.5,曇り,長野
2022/6/4,23.2,12.0,晴れときどき曇り,長野
2022/6/5,27.0,13.2,曇りときどき晴れ,長野
2022/6/6,18.8,14.3,雨,長野
2022/6/7,21.8,13.6,曇りときどき雨,長野
2022/6/8,20.8,13.5,曇りときどき雨,長野
2022/6/9,25.8,13.6,晴れ,長野
2022/6/10,26.2,15.0,晴れのち曇り,長野
2022/6/11,24.6,16.0,曇り,長野
2022/6/12,22.0,12.4,曇り,長野
2022/1/1,6.1,-2.7,晴れ,宇都宮
2022/1/2,7.2,-5.3,晴れ,宇都宮
2022/1/3,9.6,-4.2,晴れ,宇都宮
2022/1/4,9.0,-3.4,晴れ,宇都宮
2022/1/5,7.2,-5.3,晴れ,宇都宮
2022/1/6,3.5,-3.8,曇りときどき晴れ,宇都宮
2022/1/7,7.7,-5.5,晴れ,宇都宮
2022/1/8,8.8,-5.5,晴れ,宇都宮
2022/1/9,10.9,-4.2,晴れ,宇都宮
2022/1/10,9.6,2.3,曇り,宇都宮
2022/1/11,5.8,3.4,雨ときどき曇り,宇都宮
2022/1/12,6.4,-2.1,晴れ,宇都宮
2022/1/13,9.8,-3.3,晴れときどき曇り,宇都宮
2022/1/14,7.2,-2.6,晴れ,宇都宮
2022/1/15,8.0,-3.1,曇りときどき晴れ,宇都宮
2022/1/16,9.6,-3.5,晴れ,宇都宮
2022/1/17,10.4,-2.2,晴れときどき曇り,宇都宮
2022/1/18,7.1,-2.2,晴れ,宇都宮
2022/1/19,7.7,-5.1,晴れ,宇都宮
2022/1/20,7.7,-3.1,晴れ,宇都宮
2022/1/21,3.7,-3.4,曇りときどき晴れ,宇都宮
2022/1/22,7.9,-6.1,晴れ,宇都宮
2022/1/23,7.8,-2.2,曇り,宇都宮
2022/1/24,10.5,-1.4,晴れときどき曇り,宇都宮
2022/1/25,6.7,-3.7,曇りときどき晴れ,宇都宮
2022/1/26,9.9,2.1,曇り,宇都宮
2022/1/27,11.3,-0.5,晴れ,宇都宮
2022/1/28,9.8,-2.7,晴れ,宇都宮
2022/1/29,8.4,-3.3,晴れ,宇都宮
2022/1/30,8.2,-2.1,晴れ,宇都宮
2022/1/31,8.3,-4.2,晴れ,宇都宮
2022/2/1,9.9,-4.2,晴れ,宇都宮
2022/2/2,9.3,-1.1,晴れ,宇都宮
2022/2/3,11.6,-4.0,晴れ,宇都宮
2022/2/4,8.5,-3.1,晴れ,宇都宮
2022/2/5,6.8,-3.0,晴れときどき曇り,宇都宮
2022/2/6,6.1,-4.5,晴れときどき曇り,宇都宮
2022/2/7,8.0,-5.3,晴れ,宇都宮
2022/2/8,8.2,-2.6,曇りのち晴れ,宇都宮
2022/2/9,10.0,-3.2,晴れときどき曇り,宇都宮
2022/2/10,3.6,0.6,みぞれ,宇都宮
2022/2/11,10.2,-0.3,晴れときどき曇り,宇都宮
2022/2/12,7.6,-3.1,曇りときどき晴れ,宇都宮
2022/2/13,9.8,-2.2,晴れのち雨,宇都宮
2022/2/14,9.2,1.2,晴れときどき曇り,宇都宮
2022/2/15,6.9,1.2,曇り,宇都宮
2022/2/16,12.0,-0.7,晴れ,宇都宮
2022/2/17,8.2,-3.6,晴れ,宇都宮
2022/2/18,10.7,-2.4,晴れときどき曇り,宇都宮
2022/2/19,9.4,-1.6,曇り,宇都宮
2022/2/20,12.0,-0.1,曇りときどき雨,宇都宮
2022/2/21,5.8,-0.9,晴れときどき曇り,宇都宮
2022/2/22,8.4,-3.6,晴れ,宇都宮
2022/2/23,8.2,-4.6,晴れ,宇都宮
2022/2/24,9.5,-3.9,晴れ,宇都宮
2022/2/25,12.3,-4.3,晴れ,宇都宮
2022/2/26,14.0,-2.3,晴れ,宇都宮
2022/2/27,15.6,0.3,晴れ,宇都宮
2022/2/28,14.9,-1.3,晴れ,宇都宮
2022/3/1,14.8,2.1,晴れのち曇り,宇都宮
2022/3/2,16.6,1.7,晴れ,宇都宮
2022/3/3,16.0,1.6,小雨ときどき曇り,宇都宮
2022/3/4,11.5,-1.6,晴れ,宇都宮
2022/3/5,15.4,3.0,晴れ,宇都宮
2022/3/6,10.8,1.2,晴れ,宇都宮
2022/3/7,12.2,-1.6,晴れときどき曇り,宇都宮
2022/3/8,11.3,2.4,曇り,宇都宮
2022/3/9,13.5,2.9,晴れときどき曇り,宇都宮
2022/3/10,14.3,-0.4,晴れときどき曇り,宇都宮
2022/3/11,16.8,4.1,晴れときどき曇り,宇都宮
2022/3/12,20.9,4.2,晴れ,宇都宮
2022/3/13,19.5,7.0,曇りときどき晴れ,宇都宮
2022/3/14,24.8,7.0,晴れときどき曇り,宇都宮
2022/3/15,19.6,6.3,曇り,宇都宮
2022/3/16,18.5,4.1,曇りときどき晴れ,宇都宮
2022/3/17,18.0,6.0,曇りときどき晴れ,宇都宮
2022/3/18,8.2,2.8,雨,宇都宮
2022/3/19,17.2,4.0,晴れのち曇り,宇都宮
2022/3/20,14.6,4.1,晴れときどき曇り,宇都宮
2022/3/21,14.4,4.6,晴れときどき曇り,宇都宮
2022/3/22,6.7,-0.5,みぞれときどき雨,宇都宮
2022/3/23,9.5,-2.6,曇りときどき晴れ,宇都宮
2022/3/24,15.3,0.2,晴れ,宇都宮
2022/3/25,17.3,2.6,晴れ,宇都宮
2022/3/26,16.4,8.4,曇り,宇都宮
2022/3/27,23.4,9.8,晴れ,宇都宮
2022/3/28,18.3,7.6,晴れときどき曇り,宇都宮
2022/3/29,10.0,6.0,曇り,宇都宮
2022/3/30,20.0,8.8,曇りときどき晴れ,宇都宮
2022/3/31,20.2,7.4,曇り,宇都宮
2022/4/1,10.9,1.9,曇りのち晴れ,宇都宮
2022/4/2,12.0,-0.6,晴れ,宇都宮
2022/4/3,11.8,3.6,曇り,宇都宮
2022/4/4,11.7,7.7,雨,宇都宮
2022/4/5,19.7,7.9,晴れときどき雨,宇都宮
2022/4/6,20.8,10.7,曇りのち晴れ,宇都宮
2022/4/7,17.4,8.4,曇りときどき晴れ,宇都宮
2022/4/8,21.2,8.3,晴れ,宇都宮
2022/4/9,22.7,10.3,晴れ,宇都宮
2022/4/10,27.0,9.8,晴れ,宇都宮
2022/4/11,26.1,11.8,晴れのち曇り,宇都宮
2022/4/12,27.1,14.7,晴れ,宇都宮
2022/4/13,28.5,13.1,晴れ,宇都宮
2022/4/14,20.8,7.3,雨ときどき曇り,宇都宮
2022/4/15,11.3,7.3,雨ときどき曇り,宇都宮
2022/4/16,19.1,7.1,曇り,宇都宮
2022/4/17,16.5,5.9,曇りときどき晴れ,宇都宮
2022/4/18,15.6,10.3,雨ときどき曇り,宇都宮
2022/4/19,21.6,7.6,晴れ,宇都宮
2022/4/20,15.1,9.3,曇りときどき雨,宇都宮
2022/4/21,20.4,8.8,曇り,宇都宮
2022/4/22,27.0,12.8,晴れ,宇都宮
2022/4/23,27.2,14.5,晴れときどき曇り,宇都宮
2022/4/24,19.6,13.5,曇り,宇都宮
2022/4/25,27.2,10.9,晴れ,宇都宮
2022/4/26,22.1,16.8,曇りときどき雨,宇都宮
2022/4/27,27.1,17.1,雨ときどき晴れ,宇都宮
2022/4/28,18.4,11.7,曇り,宇都宮
2022/4/29,17.0,6.2,雨ときどき曇り,宇都宮
2022/4/30,18.3,4.2,晴れ,宇都宮
2022/5/1,14.3,8.9,曇りのち雨,宇都宮
2022/5/2,19.2,6.1,晴れのち雨,宇都宮
2022/5/3,19.5,6.4,晴れ,宇都宮
2022/5/4,24.5,9.1,晴れ,宇都宮
2022/5/5,27.7,11.8,晴れ,宇都宮
2022/5/6,25.3,13.9,晴れときどき曇り,宇都宮
2022/5/7,23.5,13.1,曇りときどき雨,宇都宮
2022/5/8,24.1,15.1,晴れときどき曇り,宇都宮
2022/5/9,15.3,11.0,雨ときどき曇り,宇都宮
2022/5/10,23.5,7.9,晴れ,宇都宮
2022/5/11,22.7,8.9,曇りときどき晴れ,宇都宮
2022/5/12,24.6,16.1,曇り,宇都宮
2022/5/13,19.4,16.4,雨,宇都宮
2022/5/14,26.4,16.1,曇り,宇都宮
2022/5/15,21.0,14.2,曇り,宇都宮
2022/5/16,16.3,12.3,雨ときどき曇り,宇都宮
2022/5/17,17.9,12.5,曇り,宇都宮
2022/5/18,25.2,10.7,晴れ,宇都宮
2022/5/19,27.5,11.4,晴れ,宇都宮
2022/5/20,27.2,15.2,曇りときどき晴れ,宇都宮
2022/5/21,21.5,17.1,雨ときどき曇り,宇都宮
2022/5/22,23.9,15.1,曇りときどき晴れ,宇都宮
2022/5/23,22.3,13.5,曇りときどき晴れ,宇都宮
2022/5/24,26.3,12.7,晴れ,宇都宮
2022/5/25,27.3,16.9,晴れときどき曇り,宇都宮
2022/5/26,25.8,15.9,曇り,宇都宮
2022/5/27,21.9,17.0,雨のち曇り,宇都宮
2022/5/28,28.7,14.0,晴れ,宇都宮
2022/5/29,33.2,13.9,晴れ,宇都宮
2022/5/30,25.9,14.8,晴れ,宇都宮
